Kraj: Moravskoslezský kraj

Okrsky celkem,Voliči v seznamu,Vydané obálky,Volební účast v %,Odevzdané obálky,Platné hlasy,% platných hlasů
1 306,987 233,551 446,"55,86",551 015,547 789,"99,41"

Strana číslo,Strana název,Platné hlasy celkem,Platné hlasy v %
1,Obcanska demokraticka strana,40 944,"7,47"
2,Rad naroda - Vlastenecka unie,598,"0,10"
3,CESTA ODPOVEDNE SPOLECNOSTI,327,"0,05"
4,Ceska str.socialne demokrat.,48 417,"8,83"
6,Radostne Cesko,592,"0,10"
7,STAROSTOVE A NEZAVISLI,14 462,"2,64"
8,Komunisticka str.Cech a Moravy,47 651,"8,69"
9,Strana zelenych,6 583,"1,20"
10,"ROZUMNI-stop migraci,diktat.EU",3 790,"0,69"
12,Strana svobodnych obcanu,5 892,"1,07"
13,Blok proti islam.-Obran.domova,568,"0,10"
14,Obcanska demokraticka aliance,654,"0,11"
15,Ceska piratska strana,47 332,"8,64"
18,Ceska narodni fronta,117,"0,02"
19,Referendum o Evropske unii,450,"0,08"
20,TOP 09,14 142,"2,58"
21,ANO 2011,194 069,"35,42"
22,Dobra volba 2016,650,"0,11"
23,SPR-Republ.str.Csl. M.Sladka,970,"0,17"
24,Krest.demokr.unie-Cs.str.lid.,35 362,"6,45"
25,Ceska strana narodne socialni,166,"0,03"
26,REALISTE,3 664,"0,66"
27,SPORTOVCI,1 057,"0,19"
28,Delnic.str.socialni spravedl.,1 083,"0,19"
29,Svob.a pr.dem.-T.Okamura (SPD),76 027,"13,87"
30,Strana Prav Obcanu,2 222,"0,40"
