Kraj: Olomoucký kraj

Okrsky celkem,Voliči v seznamu,Vydané obálky,Volební účast v %,Odevzdané obálky,Platné hlasy,% platných hlasů
931,515 014,307 825,"59,77",307 605,305 639,"99,36"

Strana číslo,Strana název,Platné hlasy celkem,Platné hlasy v %
1,Obcanska demokraticka strana,27 266,"8,92"
2,Rad naroda - Vlastenecka unie,426,"0,13"
3,CESTA ODPOVEDNE SPOLECNOSTI,282,"0,09"
4,Ceska str.socialne demokrat.,22 760,"7,44"
6,Radostne Cesko,307,"0,10"
7,STAROSTOVE A NEZAVISLI,13 580,"4,44"
8,Komunisticka str.Cech a Moravy,26 853,"8,78"
9,Strana zelenych,3 588,"1,17"
10,"ROZUMNI-stop migraci,diktat.EU",1 942,"0,63"
12,Strana svobodnych obcanu,3 963,"1,29"
13,Blok proti islam.-Obran.domova,436,"0,14"
14,Obcanska demokraticka aliance,448,"0,14"
15,Ceska piratska strana,25 955,"8,49"
19,Referendum o Evropske unii,213,"0,06"
20,TOP 09,9 903,"3,24"
21,ANO 2011,95 950,"31,39"
22,Dobra volba 2016,248,"0,08"
23,SPR-Republ.str.Csl. M.Sladka,488,"0,15"
24,Krest.demokr.unie-Cs.str.lid.,25 257,"8,26"
25,Ceska strana narodne socialni,117,"0,03"
26,REALISTE,1 678,"0,54"
27,SPORTOVCI,766,"0,25"
28,Delnic.str.socialni spravedl.,675,"0,22"
29,Svob.a pr.dem.-T.Okamura (SPD),41 397,"13,54"
30,Strana Prav Obcanu,1 141,"0,37"
-,-,-,-
