Kraj: Hlavní město Praha
Okrsky celkem,Voliči v seznamu,Vydané obálky,Volební účast v %,Odevzdané obálky,Platné hlasy,% platných hlasů
1 109,916 940,615 519,"67,13",614 958,611 450,"99,43"

Strana číslo,Strana název,Platné hlasy celkem,Platné hlasy v %
1,Obcanska demokraticka strana,99 182,"16,22"
2,Rad naroda - Vlastenecka unie,642,"0,10"
3,CESTA ODPOVEDNE SPOLECNOSTI,407,"0,06"
4,Ceska str.socialne demokrat.,34 079,"5,57"
5,Volte Pr.Blok www.cibulka.net,491,"0,08"
6,Radostne Cesko,221,"0,03"
7,STAROSTOVE A NEZAVISLI,30 920,"5,05"
8,Komunisticka str.Cech a Moravy,28 158,"4,60"
9,Strana zelenych,14 686,"2,40"
10,"ROZUMNI-stop migraci,diktat.EU",2 600,"0,42"
11,Spolec.proti vyst.v Prok.udoli,438,"0,07"
12,Strana svobodnych obcanu,12 857,"2,10"
13,Blok proti islam.-Obran.domova,472,"0,07"
14,Obcanska demokraticka aliance,943,"0,15"
15,Ceska piratska strana,107 590,"17,59"
16,OBCANE 2011-SPRAVEDL. PRO LIDI,177,"0,02"
17,Unie H.A.V.E.L.,93,"0,01"
19,Referendum o Evropske unii,423,"0,06"
20,TOP 09,77 325,"12,64"
21,ANO 2011,124 445,"20,35"
22,Dobra volba 2016,358,"0,05"
23,SPR-Republ.str.Csl. M.Sladka,539,"0,08"
24,Krest.demokr.unie-Cs.str.lid.,29 143,"4,76"
25,Ceska strana narodne socialni,182,"0,02"
26,REALISTE,5 851,"0,95"
27,SPORTOVCI,1 243,"0,20"
28,Delnic.str.socialni spravedl.,565,"0,09"
29,Svob.a pr.dem.-T.Okamura (SPD),35 547,"5,81"
30,Strana Prav Obcanu,1 873,"0,30"
